id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
56WjtnIYDizFHsceYrZEvE,We Will Rock You - Movie Mix,46,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,11,129093,0.64,0.593,11,-6.24,0,0.121,0.117,1.21e-6,0.78,0.407,81.402,4
3LjvFUqQi5LoqaRK6CLwMk,Another One Bites The Dust - 2011 Remaster,48,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,12,214640,0.928,0.526,5,-6.486,0,0.161,0.0969,0.263,0.153,0.753,109.958,4
25H6P7a94WUr5102lC6TNI,I Want To Break Free,59,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,13,223080,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-5,0.0813,0.502,108.944,4
5AZGbqiIK5t1jrWSPT7k8X,Under Pressure - Remastered,47,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,14,244484,0.672,0.699,2,-7.831,1,0.0475,0.395,0,0.094,0.46,113.737,4
05ZPrmaISOFhW3BnkuxyLR,Who Wants To Live Forever - 2011 Remaster,43,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,15,314488,0.18,0.371,4,-9.033,0,0.0332,0.583,0.00217,0.116,0.0388,139.671,4
3Rvjhi2fdHU7qLIv4a4MCy,Bohemian Rhapsody - Live Aid,48,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,16,147840,0.379,0.781,0,-6.147,0,0.0417,0.315,1.62e-4,0.401,0.327,77.567,4
5ODSfJ2h7m1Zkg6MIm2C9Q,Radio Ga Ga - Live Aid,56,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,17,245680,0.406,0.934,5,-6.668,1,0.0845,0.0138,0,0.955,0.395,118.823,4
5nv5hodQpAMoT2PqSVmakE,Ay-Oh - Live Aid,52,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,18,41454,0.215,0.87,2,-10.92,1,0.351,0.881,0.112,0.976,0.462,144.877,3
5YpHQOxvS1pe36h2vkkjSx,Hammer To Fall - Live Aid,53,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,19,243531,0.222,0.981,9,-5.846,1,0.0918,0.00515,3.83e-4,0.979,0.153,140.503,4
5SWhZ7Xn6t7TowUp77vaUz,We Are The Champions - Live Aid,53,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,20,237025,0.316,0.86,7,-5.038,0,0.0661,0.175,4.92e-5,0.902,0.195,100.888,3
62PDM93qqC4xSfQMV48MRF,Don't Stop Me Now - …revisited,52,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,21,217824,0.465,0.917,5,-6.331,1,0.237,0.0152,0.02,0.286,0.39,155.061,4
0LCWyLFPXIeg1CIC1NS712,The Show Must Go On - 2011 Mix,45,3BHe7LbW5yRjyqXNJ3A6mW,Bohemian Rhapsody (The Original Soundtrack),22,22,271611,0.425,0.675,11,-6.79,0,0.0409,0.433,4.51e-6,0.112,0.0671,84.156,4
22PDDxasXyFMek05JaWmVC,"My Fairy King - BBC Session / February 5th 1973, Langham 1 Studio",43,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,1,247573,0.353,0.506,2,-9.556,0,0.0342,0.546,3.05e-5,0.173,0.285,101.436,4
3qFTqz2IW4C9pRXPiijwjt,"Keep Yourself Alive - BBC Session / February 5th 1973, Langham 1 Studio",28,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,2,228626,0.511,0.722,9,-8.686,1,0.064,0.23,0,0.0764,0.411,134.934,4
16EyUKbpib1iHyV3qa0HYH,"Doing All Right - BBC Session / February 5th 1973, Langham 1 Studio",27,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,3,251840,0.37,0.303,9,-12.881,1,0.0298,0.392,6.68e-5,0.0928,0.346,94.245,4
15ndeIwAaYeY86sPCWMGwf,"Liar - BBC Session / February 5th 1973, Langham 1 Studio",25,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,4,388640,0.284,0.613,2,-10.22,1,0.08,0.0372,5.58e-5,0.596,0.368,155.49,4
5QqgSUN4pcoXFIrPKKvftv,"See What A Fool I've Been - BBC Session / July 25th 1973, Langham 1 Studio",25,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,5,259933,0.245,0.756,4,-8.223,1,0.0993,0.0101,0.0264,0.777,0.373,171.247,3
0OpJzqZmaSrE3LvGvWa32P,"Keep Yourself Alive - BBC Session / July 25th 1973, Langham 1 Studio",25,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,6,230760,0.48,0.706,9,-8.916,1,0.0555,0.207,0,0.048,0.516,136.093,4
7D8BOBofsGAUlgvKBOS5xG,"Liar - BBC Session / July 25th 1973, Langham 1 Studio",23,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,7,388480,0.303,0.617,2,-9.427,1,0.0869,0.0877,1.2e-4,0.622,0.346,143.347,4
7FwLqOBu6cv1AAewM4Lji9,"Son And Daughter - BBC Session / July 25th 1973, Langham 1 Studio",23,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,8,362080,0.34,0.921,4,-8.715,0,0.165,0.00589,0.00481,0.389,0.498,142.685,4
4Yk3CMLGIum15fTwyudaXX,"Ogre Battle - BBC Session / December 3rd 1973, Langham 1 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,9,279053,0.322,0.743,2,-7.027,1,0.0724,0.354,0.144,0.11,0.315,103.155,4
7BHFdEeGM9bXcqyjCJfzW9,"Modern Times Rock 'n' Roll - BBC Session / December 3rd 1973, Langham 1 Studio",21,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,10,121013,0.33,0.842,9,-7.42,1,0.0773,0.0367,2.81e-5,0.0946,0.524,113.568,4
5d92UPrLsRvIyuoRytnYCH,"Great King Rat - BBC Session / December 3rd 1973, Langham 1 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,11,356480,0.361,0.761,4,-8.566,0,0.0632,0.117,0.00848,0.268,0.395,131.272,4
2z45KnRMNNHkUaqDxPB5Um,"Son And Daughter - BBC Session / December 3rd 1973, Langham 1 Studio",21,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,12,433173,0.352,0.797,9,-8.871,1,0.0706,0.111,0.0557,0.0832,0.531,139.893,4
3CGrqjdYx2eplhrRaR8evb,"Modern Times Rock 'n' Roll - BBC Session / April 3rd 1974, Langham 1 Studio",20,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,1,166026,0.404,0.974,2,-7.193,1,0.149,0.15,3.95e-6,0.305,0.379,100.134,4
0Yu1HmXSae7kdJru6TrrQ9,"Nevermore - BBC Session / April 3rd 1974, Langham 1 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,2,87866,0.428,0.282,5,-12.414,1,0.0351,0.951,8.45e-6,0.0963,0.541,123.049,4
2AteKj9kfM7lChIaol2GA3,"White Queen (As It Began) - BBC Session / April 3rd 1974, Langham 1 Studio",21,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,3,292773,0.347,0.62,9,-8.627,0,0.0373,0.647,2.43e-5,0.149,0.138,144.536,4
0tC6gF52GoO32z8tgHWynf,"Now I'm Here - BBC Session / October 16th 1974, Maida Vale 4 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,4,257453,0.463,0.72,4,-7.381,1,0.0496,0.0257,0.0116,0.0911,0.449,131.981,4
44WvyvSNNqfyOuAoOVuGTa,"Stone Cold Crazy - BBC Session / October 16th 1974, Maida Vale 4 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,5,135573,0.492,0.835,7,-8.305,1,0.11,0.0106,4.83e-4,0.0946,0.446,119.894,4
7dTZpEewYH14tI8thyNyh3,"Flick Of The Wrist - BBC Session / October 16th 1974, Maida Vale 4 Studio",21,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,6,204880,0.444,0.738,4,-7.423,0,0.103,0.107,5.78e-5,0.273,0.616,73.841,4
2Xi39sGjqCcPSkcusVZljX,"Tenement Funster - BBC Session / October 16th 1974, Maida Vale 4 Studio",20,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,7,178320,0.302,0.526,7,-10.334,1,0.0333,0.0538,3.82e-5,0.102,0.489,172.074,4
39Q0fbdyQfyBkgwY0zxMtQ,"We Will Rock You - BBC Session / October 28th 1977, Maida Vale 4 Studio",31,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,8,95533,0.638,0.44,2,-10.278,1,0.154,0.667,7.79e-5,0.118,0.374,80.92,4
5nfkmlUT5t5NuSeQgFXzWx,"We Will Rock You (Fast) - BBC Session / October 28th 1977, Maida Vale 4 Studio",33,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,9,165026,0.397,0.988,4,-5.726,0,0.157,0.0152,2.2e-4,0.41,0.224,157.776,4
1oJxXyFKRmG6B1ShCQNx9u,"Spread Your Wings - BBC Session / October 28th 1977, Maida Vale 4 Studio",22,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,10,322866,0.455,0.868,9,-6.383,1,0.0428,0.0956,1.92e-4,0.199,0.486,91.204,4
4kRARLcqyiVbbn5AcdtKae,"It's Late - BBC Session / October 28th 1977, Maida Vale 4 Studio",20,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,11,396920,0.272,0.702,9,-7.68,1,0.104,0.28,5.05e-4,0.0964,0.242,94.204,4
513QNSmBY7dkF2BMGmagRz,"My Melancholy Blues - BBC Session / October 28th 1977, Maida Vale 4 Studio",23,60TXSuzXQoEy3p5cQEkLu7,Queen On Air,24,12,195453,0.397,0.236,3,-12.404,1,0.0298,0.863,3.34e-4,0.106,0.127,101.078,4
16OQs7xLNQcDXBOZTdZEaE,"Now I'm Here - Live At The Hammersmith Odeon, London / 1975",26,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,1,282813,0.32,0.899,9,-7.681,1,0.155,0.0829,0.00402,0.488,0.135,134.096,4
0kzwIQIdl1pMzKhWZSRhoT,"Ogre Battle - Live At The Hammersmith Odeon, London / 1975",21,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,2,319360,0.242,0.906,4,-8.089,0,0.252,0.273,5.96e-4,0.933,0.0651,102.714,3
7epU703AgPd4VvLWeHpheR,"White Queen (As It Began) - Live At The Hammersmith Odeon, London / 1975",24,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,3,330840,0.212,0.807,9,-7.956,0,0.0708,0.488,3.88e-5,0.939,0.363,147.354,4
3MDWmhr20E7k9O3mAmwhrW,"Bohemian Rhapsody - Live At The Hammersmith Odeon, London / 1975",28,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,4,148306,0.343,0.671,10,-7.824,1,0.0495,0.53,1.56e-6,0.0803,0.35,143.484,4
7lsHm837GKkvkCyDfy0PIi,"Killer Queen - Live At The Hammersmith Odeon, London / 1975",32,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,5,128146,0.549,0.816,10,-8.106,1,0.0489,0.164,0,0.802,0.42,125.076,4
117qqsSAFC9qoHJC0glKkK,"The March of the Black Queen - Live At The Hammersmith Odeon, London / 1975",23,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,6,90013,0.354,0.965,9,-6.484,0,0.11,0.0365,0.011,0.848,0.0471,124.923,4
6HFlzqXPJrx4VxMvLA5vlf,"Bohemian Rhapsody - Reprise / Live At The Hammersmith Odeon, London / 1975",22,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,7,62040,0.283,0.719,3,-9.713,1,0.0562,0.881,0.00713,0.802,0.107,141.251,4
0dFtg4qHp1d2xDuiFP8TWA,"Bring Back That Leroy Brown - Live At The Hammersmith Odeon, London / 1975",20,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,8,92213,0.395,0.899,7,-10.438,1,0.0899,0.537,0.508,0.927,0.356,124.142,4
5852MNJUYYSYCMmrsIH1Fk,"Brighton Rock - Live At The Hammersmith Odeon, London / 1975",22,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,9,143800,0.252,0.948,4,-7.894,1,0.228,0.439,2.83e-4,0.585,0.171,139.469,4
4abQSC9IpiPZojoaV9e0yI,"Guitar Solo - Live At The Hammersmith Odeon, London / 1975",21,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,10,397373,0.358,0.77,4,-11.074,1,0.074,0.863,0.847,0.812,0.458,72.064,4
0GQNJRGnSVSKZKOmKTfNMS,"Son and Daughter - Live At The Hammersmith Odeon, London / 1975",19,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,11,104213,0.222,0.931,2,-8.576,0,0.257,0.136,9.86e-4,0.99,0.208,146.802,4
3V88SlrAFpWMWVCSrQWDsa,"Keep Yourself Alive - Live At The Hammersmith Odeon, London / 1975",22,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,12,272680,0.347,0.948,0,-8.59,1,0.225,0.126,0.00131,0.753,0.205,136.999,4
639UqRR1chH0jw8J0t1w4C,"Liar - Live At The Hammersmith Odeon, London / 1975",20,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,13,525213,0.221,0.877,9,-8.712,1,0.164,0.0922,0.00771,0.713,0.116,153.357,4
5rYgtpKVJ22ZByqSzjg1KH,"In the Lap of the Gods... Revisited - Live At The Hammersmith Odeon, London / 1975",22,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,14,323773,0.204,0.91,2,-10.102,1,0.401,0.42,4.68e-4,0.924,0.0349,93.543,4
2phbCADkzpd8BCIfquVTig,"Big Spender - Live At The Hammersmith Odeon, London / 1975",20,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,15,83680,0.238,0.921,4,-8.451,0,0.128,0.00937,2.17e-5,0.454,0.073,173.036,4
4UEzzqvjTv9Em5IKBHhNBk,"Jailhouse Rock Medley - Live At The Hammersmith Odeon, London / 1975",20,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,16,560720,0.169,0.966,4,-8.962,0,0.225,0.107,0.00597,0.907,0.0344,84.967,4
1xz0aSiW8AxcAJIj7VKIPA,"Seven Seas of Rhye - Live At The Hammersmith Odeon, London / 1975",21,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,17,190960,0.297,0.948,7,-6.396,1,0.155,0.0587,1.33e-4,0.646,0.158,128.749,4
7LCdcg60N1YBGv3uFSTooL,"See What a Fool I've Been - Live At The Hammersmith Odeon, London / 1975",18,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,18,261946,0.178,0.864,4,-7.439,1,0.125,0.0911,1.59e-4,0.93,0.312,160.844,3
4gwOZ4JhogEJq4sOmL5acb,"God Save The Queen - Live At The Hammersmith Odeon, London / 1975",18,03fubwn4664emOoK7WkOdK,A Night at the Odeon,19,19,82533,0.203,0.571,7,-12.824,1,0.0492,0.538,0.891,0.916,0.528,102.125,5
2GO2hNib4ao5EyDYRp6oPh,"Procession - Live At The Rainbow, London / March 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,1,73173,0.217,0.407,7,-17.361,1,0.0603,0.198,0.15,0.761,0.295,115.58,3
5aGORH5pMbWGtIHMFcOALO,"Father To Son - Live At The Rainbow, London / March 1974",20,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,2,367240,0.162,0.904,7,-5.057,1,0.111,0.0999,5.75e-6,0.485,0.209,76.135,4
1AzNO2L0QQ1DOXsdeiIhQ9,"Ogre Battle - Live At The Rainbow, London / March 1974",19,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,3,326626,0.237,0.941,2,-6.058,1,0.195,0.061,1.95e-5,0.799,0.148,105.238,3
0JNOmhdLBWITpCNeguv17d,"Son And Daughter - Live At The Rainbow, London / March 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,4,209973,0.207,0.935,11,-5.018,0,0.0955,0.0639,5.52e-6,0.433,0.536,146.76,4
3YUQQ13YcwpBl5uQhlpJhJ,"Guitar Solo - Live At The Rainbow, London / March 1974",20,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,5,144800,0.278,0.928,2,-8.131,1,0.41,0.749,0.953,0.955,0.346,81.175,4
0ubQq6Scj4VNCWaf9nSWyb,"Son And Daughter (Reprise) - Live At The Rainbow, London / March 1974",17,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,6,121720,0.239,0.918,2,-6.25,1,0.219,0.0267,5.16e-5,0.461,0.0584,145.597,4
0ns96UCKI5Y6SxFGZWljmZ,"White Queen (As It Began) - Live At The Rainbow, London / March 1974",19,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,7,348400,0.211,0.73,4,-6.421,0,0.0612,0.497,6.58e-5,0.732,0.172,145.721,4
28NMcjW2Ntl0dP3aBiSssZ,"Great King Rat - Live At The Rainbow, London / March 1974",19,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,8,424080,0.195,0.965,7,-5.147,1,0.173,0.00868,3.36e-4,0.707,0.157,140.406,4
6Rhb42vs67otRFULx5YPCN,"The Fairy Feller's Master-Stroke - Live At The Rainbow, London / March 1974",20,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,9,172240,0.317,0.951,9,-3.975,0,0.216,0.549,0,0.704,0.348,160.688,4
3TZ31LSmaY17b4heXSfFo4,"Keep Yourself Alive - Live At The Rainbow, London / March 1974",21,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,10,142426,0.323,0.982,5,-4.793,1,0.126,0.0106,0,0.489,0.143,138.106,4
4Ic0Q6BGOkyYy9DKWKJ0oA,"Drum Solo - Live At The Rainbow, London / March 1974",0,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,11,27426,0.37,0.974,6,-10.853,1,0.0583,0.00804,0.891,0.294,0.744,144.86,3
5Ki3dQZvrjLgZGNsH0Oa2E,"Keep Yourself Alive (Reprise) - Live At The Rainbow, London / March 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,12,82920,0.304,0.904,5,-5.406,1,0.205,0.071,0,0.694,0.228,136.53,4
5a2kQ647Yluv8AsTZZehRr,"Seven Seas Of Rhye - Live At The Rainbow, London / March 1974",20,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,13,189840,0.248,0.939,7,-5.138,1,0.108,0.0434,1.58e-5,0.357,0.275,132.308,4
7qPaWhNOy0P7MZ9PNRkioC,"Modern Times Rock 'n' Roll - Live At The Rainbow, London / March 1974",17,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,14,160586,0.386,0.991,7,-3.81,1,0.161,0.00262,0,0.946,0.0939,109.707,4
58Pt2OscvNVXsZPXfV9ReY,"Jailhouse Rock / Stupid Cupid / Be Bop A Lula - Live At The Rainbow, London / March 1974",20,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,15,271626,0.226,0.928,2,-4.973,1,0.102,0.0266,0,0.789,0.282,93.627,4
3Bn99QKR5FVnOJcq5791gO,"Liar - Live At The Rainbow, London / March 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,16,507733,0.194,0.944,2,-5.338,1,0.107,0.0426,0.00137,0.968,0.164,81.434,4
2oWzvujT9DeyCIMJKFuUuU,"See What A Fool I've Been - Live At The Rainbow, London / March 1974",16,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,17,298146,0.15,0.868,9,-4.395,1,0.0741,0.115,2.03e-5,0.947,0.367,166.306,3
5gPUY5zPO4JVaKlXAE7SAS,"Procession - Live At The Rainbow, London / November 1974",16,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,1,77893,0.392,0.366,2,-19.156,0,0.0398,0.0205,0.647,0.378,0.255,57.919,3
5P2QQeEPqOJEtlP51QAE49,"Now I'm Here - Live At The Rainbow, London / November 1974",19,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,2,297120,0.29,0.906,9,-6.775,1,0.16,0.00421,0.00189,0.699,0.099,129.558,4
2wei355YqPm5ZSDd8tiHOJ,"Ogre Battle - Live At The Rainbow, London / November 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,3,330386,0.216,0.925,2,-6.511,1,0.344,0.00206,0.0485,0.911,0.149,99.694,3
6mCw2OP05YUVhKqn3wYQ6e,"Father To Son - Live At The Rainbow, London / November 1974",17,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,4,353973,0.245,0.866,0,-6.439,1,0.185,0.00214,0.00241,0.7,0.221,77.159,4
372YgYlFKYKuDbvuod3CSU,"White Queen (As It Began) - Live At The Rainbow, London / November 1974",17,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,5,333880,0.251,0.707,9,-7.679,0,0.0651,0.086,1.78e-5,0.361,0.194,74.218,4
4g43l0jQByUzCHnKpVuGKV,"Flick Of The Wrist - Live At The Rainbow, London / November 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,6,245946,0.263,0.904,4,-6.678,0,0.314,0.00684,5.85e-5,0.933,0.315,146.285,4
1PGyTp5khq8qnZATkAdCjH,"In The Lap Of The Gods - Live At The Rainbow, London / November 1974",24,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,7,197026,0.309,0.797,5,-6.446,1,0.0579,0.05,0.00134,0.295,0.35,76.59,4
1NW5zSoOQDScQdQ4HkWfbw,"Killer Queen - Live At The Rainbow, London / November 1974",25,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,8,85013,0.571,0.822,0,-6.37,0,0.0616,0.0117,1.64e-6,0.665,0.733,118.432,4
1ypVov8U6y9YOnPZGlNUmR,"The March Of The Black Queen - Live At The Rainbow, London / November 1974",19,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,9,95280,0.28,0.95,9,-5.516,0,0.0822,1.45e-5,0.00778,0.234,0.265,122.258,4
3EqEIsET6N7QVrzT4mTNIY,"Bring Back That Leroy Brown - Live At The Rainbow, London / November 1974",18,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,10,99973,0.433,0.932,0,-8.728,1,0.119,0.149,0.027,0.645,0.497,124.248,4
1ipLAFYVJnnetLeZg3djts,"Son And Daughter - Live At The Rainbow, London / November 1974",16,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,11,224706,0.251,0.925,7,-6.494,1,0.246,0.00431,0.00273,0.712,0.525,147.718,4
7Ih7oEtVmhgIBjhjVaTjwO,"Guitar Solo - Live At The Rainbow, London / November 1974",15,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,12,281266,0.315,0.827,9,-8.016,1,0.0749,0.551,0.864,0.145,0.426,78.671,4
6093btTfp5a8dwYQYmIYBG,"Son And Daughter (Reprise) - Live At The Rainbow, London / November 1974",15,5wTdQlDnvBtUO3ptbwqeyz,Live at the Rainbow ‘74,41,13,134080,0.25,0.87,7,-7.385,1,0.39,0.00502,5.5e-4,0.235,0.186,143.661,4
6luEREkvNgeDF3Wul2R9BV,Intro - Live,22,2IY3Ty8CrUyvpibt8AcZmp,Queen Rock Montreal,28,1,119320,0.122,0.63,4,-9.143,1,0.103,0.00261,0.96,0.946,0.133,92.26,3
6SdE0KpdHkTwS7ORhcaIba,We Will Rock You (Fast) - Live,27,2IY3Ty8CrUyvpibt8AcZmp,Queen Rock Montreal,28,2,186106,0.146,0.983,9,-3.97,1,0.177,9.98e-5,0.00321,0.945,0.0932,179.286,4
74IY1VPDUvHW0BSab3Btkb,Let Me Entertain You - Live,24,2IY3Ty8CrUyvpibt8AcZmp,Queen Rock Montreal,28,3,168693,0.318,0.987,11,-4.163,0,0.215,3.7e-4,3.86e-5,0.995,0.186,78.704,4
61Mo0vO5iMuwSJsB24j6iI,Play The Game - Live,27,2IY3Ty8CrUyvpibt8AcZmp,Queen Rock Montreal,28,4,237466,0.233,0.822,0,-4.852,1,0.0525,0.0232,1.34e-5,0.986,0.218,167.032,4
